NPT run: steps=1000, dt=1.0 fs, T=783.15 K, P=1.0 bar, friction=10.0 1/ps, platform=HIP, precision=mixed, device=0
#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,0.10000000000000007,-1365102.9511452147,16040.754053425288,-1349062.1970917895,766.0350473165032,19.47874206842953,2.0232236065483455,0
200,0.20000000000000015,-1365417.4706094726,16647.465691432768,-1348770.0049180398,795.0088958513412,19.551030443577314,2.0157428986900006,0.218
300,0.3000000000000002,-1364542.507234668,16039.027384007619,-1348503.4798506603,765.9525892671709,19.606174295753313,2.0100734689096957,0.218
400,0.4000000000000003,-1364904.6097814452,16714.578463674305,-1348190.031317771,798.2139032648554,19.600239450960647,2.0106821081097266,0.219
500,0.5000000000000003,-1364866.825987207,16219.272020226705,-1348647.5539669802,774.5602711738173,19.600239450960647,2.0106821081097266,0.218
600,0.6000000000000004,-1365221.8617395507,16395.890359612742,-1348825.971379938,782.9947772773289,19.602525018951468,2.0104476714409008,0.218
700,0.7000000000000005,-1364936.0805726561,16190.261306907301,-1348745.8192657488,773.1748485760829,19.678206203252063,2.002715611964673,0.218
800,0.8000000000000006,-1365038.7846517577,15697.287233358124,-1349341.4974183997,749.6326000945401,19.678206203252063,2.002715611964673,0.218
900,0.9000000000000007,-1364845.4371560547,16145.548790919252,-1348699.8883651353,771.0395777411541,19.656091699805216,2.0049688097000233,0.218
1000,1.0000000000000007,-1365201.980491211,16266.899336568193,-1348935.0811546429,776.8347399055051,19.7132667909484,1.999153727113789,0.219
